,device,mouse,date,weight,Weight gain,Weight gain per phase,Avg change,cage,day,device_w,device gain,Filtered device gain,Calories,notes,New hopper weights,Notes,,,,,,
1,3FA,M1,12-Dec,32.54,0.42,3.83,,,26,331.95,4.8,,24.96,Free with HFD,,,,,,,,
2,3EA,M2,12-Dec,27.03,0.8,-4,,,26,309.27,3.51,,18.252,Free with HFD,,,,,,,,
3,3F4,M3,12-Dec,27.65,0.19,-2.95,,,26,327.68,4.04,,21.008,FR1 with HFD,,,,,,,,
4,3EB,M4,12-Dec,28.19,0.03,-3.03,,,26,406.87,3.32,,17.264,FR1 with HFD,,,,,,,,
1,3FA,M1,13-Dec,32.88,0.34,4.17,,,27,328.71,3.24,,16.848,Free with HFD,,,,,,,,
2,3EA,M2,13-Dec,27.63,0.6,-3.4,,,27,306.03,3.24,,16.848,Free with HFD,,,,,,,,
3,3F4,M3,13-Dec,28.1,0.45,-2.5,,,27,326.03,1.65,,8.58,FR1 with HFD,,,,,,,,
4,3EB,M4,13-Dec,28.47,0.28,-2.75,,,27,404.66,2.21,,11.492,FR1 with HFD,,,,,,,,
1,3FA,M1,14-Dec,33.75,0.87,5.04,,,28,325.64,3.07,,15.964,Free with HFD,,,,,,,,
2,3EA,M2,14-Dec,27.84,0.21,-3.19,,,28,303.23,2.8,,14.56,Free with HFD,,,,,,,,
3,3F4,M3,14-Dec,28.13,0.03,-2.47,,,28,324.14,1.89,,9.828,FR1 with HFD,,,,,,,,
4,3EB,M4,14-Dec,28.9,0.43,-2.32,,,28,402,2.66,,13.832,FR1 with HFD,Weights before food change:,,,,,,,
1,,M1,15-Dec,34.02,0.27,5.31,,,29,342.21,-16.57,,,Free with HFD,321.5,,,,,,,
2,,M2,15-Dec,28.01,0.17,-3.02,,,29,320.74,-17.51,,,Free with HFD,300.9,,,,,,,
3,,M3,15-Dec,28.58,0.45,-2.02,,,29,334.81,-10.67,,,FR1 with HFD,320.99,,,,,,,
4,,M4,15-Dec,29.15,0.25,-2.07,,,29,434.5,-32.5,,,FR1 with HFD,398.01,,,,,,,
1,,M1,18-Dec,34.98,0.96,,,,32,332.43,9.78,,50.856,Free with HFD,Mason,,,,,,,
2,,M2,18-Dec,29.38,1.37,,,,32,311.03,9.71,,50.492,Free with HFD,Mason,,,,,,,
3,,M3,18-Dec,28.76,0.18,,,,32,328.22,6.59,,34.268,FR1 with HFD,Mason,,,,,,,
4,,M4,18-Dec,30.77,1.62,,,,32,424.83,9.67,,50.284,FR1 with HFD,Mason,,,,,,,
1,,M1,20-Dec,35.29,0.31,,,,34,325.4,7.03,,36.556,Free with HFD,Mason,,,,,,,
2,,M2,20-Dec,30,0.62,,,,34,305.37,5.66,,29.432,Free with HFD,Mason,,,,,,,
3,,M3,20-Dec,28.74,-0.02,,,,34,323.19,5.03,,26.156,FR1 with HFD,Mason,,,,,,,
4,,M4,20-Dec,32.16,1.39,,,,34,415.88,8.95,,46.54,FR1 with HFD,Mason,Weights before food change:,,,,,,
1,,M1,23-Dec,36.6,1.31,7.89,,,37,356.12,-30.72,,,Free with HFD,Mason,318.28,,,,,,
2,,M2,23-Dec,30.24,0.24,-0.79,,,37,329.19,-23.82,,,Free with HFD,Mason,299.8,,,,,,
3,,M3,23-Dec,29.64,0.9,-0.96,,,37,350.8,-27.61,,,FR1 with HFD,Mason,318,,,,,,
4,,M4,23-Dec,32.57,0.41,1.35,,,37,432.64,-16.76,,,FR1 with HFD,Mason,410.31,,,,,,
1,,M1,26-Dec,37.31,0.71,8.6,,,40,343,13.12,,,Free with HFD,Lisa,,,,,,,
2,,M2,26-Dec,31.02,0.78,-0.01,,,40,317.17,12.02,,,Free with HFD,Lisa,,,,,,,
3,,M3,26-Dec,29.99,0.35,-0.61,,,40,340.97,9.83,,,FR1 with HFD,Lisa,,,,,,,
4,,M4,26-Dec,33.02,0.45,1.8,Mouse,Weight,40,421.21,11.43,,,FR1 with HFD,Lisa,Top'd M1 and M2 up they were low,,,,,,
1,,M1,28-Dec,38.2,0.89,9.49,M1,40.5,42,335.23,7.77,,,Free with HFD,Lex,355.64,,,,,,
2,,M2,28-Dec,31.72,0.7,0.69,M2,30.6,42,310.2,6.97,,,Free with HFD,Lex,332.03,,,,,,
3,,M3,28-Dec,30.7,0.71,0.1,M3,31,42,335.5,5.47,,,FR1 with HFD,Lex,,,,,,,
4,,M4,28-Dec,33.3,0.28,2.08,M4,34.6,42,416,5.21,,,FR1 with HFD,Lex,Food change - new weight of devices,,,,,,
1,,M1,29-Dec,38.31,0.11,,,,43,352.1,3.54,,,Free with HFD,Mason,357.49,,,,,,
2,,M2,29-Dec,30.6,-1.12,,,,43,331.97,-0.06,,,Free with HFD,Mason,333.99,,,,,,
3,,M3,29-Dec,30.45,-0.25,,,,43,333.16,2.34,,,FR1 with HFD,Mason,339.84,,,,,,
4,,M4,29-Dec,33.37,0.07,,,,43,413.38,2.62,,,FR1 with HFD,Mason,429.34,,,,,,
1,,M1,1-Jan,39.3,1.1,10.59,,,46,,352.1,,,Free with HFD,Lex,,,,,,,
2,,M2,1-Jan,27.7,-4.02,-3.33,,,46,,331.97,,,Free with HFD,Lex,,,,,,,
3,,M3,1-Jan,30.8,0.1,0.2,,,46,,333.16,,,FR1 with HFD,Lex,,,,,,,
4,,M4,1-Jan,34,0.7,2.78,,,46,,413.38,,,FR1 with HFD,Lex,,,,,,,
1,,M1,2-Jan,40,0.7,11.29,,,47,,0,,,Free with HFD,Lex,,,,,,,
2,,M2,2-Jan,30.1,2.4,-0.93,,,47,,0,,,Free with HFD,Lex,,,,,,,
3,,M3,2-Jan,30.9,0.1,0.3,,,47,,0,,,FR1 with HFD,Lex,,,,,,,
4,,M4,2-Jan,34.7,0.7,3.48,,,47,,0,,,FR1 with HFD,Lex,,,,,,,
1,,M1,3-Jan,39.63,-0.37,10.92,,,48,,0,,,Free with HFD,Mason,,,,,,,
2,,M2,3-Jan,29.82,-0.28,-1.21,,,48,,0,,,Free with HFD,Mason,,,,,,,
3,,M3,3-Jan,31.36,0.46,0.76,,,48,,0,,,FR1 with HFD,Mason,,,,,,,
4,,M4,3-Jan,35,0.3,3.78,,,48,,0,,,FR1 with HFD,Mason,,,,,,,
1,,M1,4-Jan,40.5,0.87,11.79,,,49,,0,,,Free with HFD,Mason,Replaced HFD in all devices,,,,,,
2,,M2,4-Jan,30.6,0.78,-0.43,,,49,,0,,,Free with HFD,Mason,,,,,,,
3,,M3,4-Jan,31,-0.36,0.4,,,49,,0,,,FR1 with HFD,Mason,,,,,,,
4,,M4,4-Jan,34.6,-0.4,3.38,,,49,,0,,,FR1 with HFD,Mason,,,,,,,
1,,M1,5-Jan,40.25,-0.25,11.54,,,50,,0,,,Free with HFD,Mason,,,,,,,
2,,M2,5-Jan,31,0.4,-0.03,,,50,,0,,,Free with HFD,Mason,,,,,,,
3,,M3,5-Jan,31.3,0.3,0.7,,,50,,0,,,FR1 with HFD,Mason,,,,,,,
4,,M4,5-Jan,34.9,0.3,3.68,,,50,,0,,,FR1 with HFD,Mason,,,,,,,
1,,M1,8-Jan,41.3,1.05,,,,53,403.91,-48.27,,,Free with HFD,,,,,,,,
2,,M2,8-Jan,32.76,1.76,,,,53,422.413,90.383,,,Free with HFD,,,,,,,,
3,,M3,8-Jan,31.41,0.11,,,,53,440.916,-440.916,,,FR1 with HFD,,,,,,,,
4,,M4,8-Jan,35.51,0.61,,,,53,459.419,-459.419,,,FR1 with HFD,,,,,,,,
1,,M1,10-Jan,41.35,1.1,12.64,,,55,,403.91,,,Free with HFD,,,,,,,,
2,,M2,10-Jan,33.66,2.66,2.63,,,55,,422.413,,,Free with HFD,,,,,,,,
3,,M3,10-Jan,31.49,0.19,0.89,,,55,,440.916,,,FR1 with HFD,,,,,,,,
4,,M4,10-Jan,36.1,1.2,4.88,,,55,,459.419,,,FR1 with HFD,,,,,,,,
1,,M1,12-Jan,41.82,0.47,13.11,,,57,,0,,,Free with HFD,,,,,,,,
2,,M2,12-Jan,33.99,0.33,2.96,,,57,,0,,,Free with HFD,,,,,,,,
3,,M3,12-Jan,31.82,0.33,1.22,,,57,,0,,,FR1 with HFD,,,,,,,,
4,,M4,12-Jan,36.42,0.32,5.2,,,57,,0,,,FR1 with HFD,,,,,,,,
1,,M1,15-Jan,43.76,1.94,15.05,,,60,,0,,,Free with HFD,,,,,,,,
2,,M2,15-Jan,35.63,1.64,4.6,,,60,,0,,,Free with HFD,,,,,,,,
3,,M3,15-Jan,32.84,1.02,2.24,,,60,,0,,,FR1 with HFD,,,,,,,,
4,,M4,15-Jan,37.78,1.36,6.56,,,60,,0,,,FR1 with HFD,,,,,,,,
1,,M1,17-Jan,44.73,0.97,16.02,,,62,,0,,,Free with HFD,,,,,,,,
2,,M2,17-Jan,36.3,0.67,5.27,,,62,,0,,,Free with HFD,,,,,,,,
3,,M3,17-Jan,32.67,-0.17,2.07,,,62,,0,,,FR1 with HFD,,,,,,,,
4,,M4,17-Jan,38.58,0.8,7.36,,,62,,0,,,FR1 with HFD,,,,,,,,
1,,M1,19-Jan,44.73,0,16.02,,,64,,0,,,Free with HFD,,,,,,,,
2,,M2,19-Jan,36.3,0,5.27,,,64,,0,,,Free with HFD,,,,,,,,
3,,M3,19-Jan,32.67,0,2.07,,,64,,0,,,FR1 with HFD,,,,,,,,
4,,M4,19-Jan,38.58,0,7.36,,,64,,0,,,FR1 with HFD,,,,,,,,
1,,M1,22-Jan,46.8,2.07,,,,67,,355.64,,,Free with HFD,,,,,,,,
2,,M2,22-Jan,37.17,0.87,,,,67,,-332.03,,,Free with HFD,,,,,,,,
3,,M3,22-Jan,33.46,0.79,,,,67,,0,,,FR1 with HFD,,,,,,,,
4,,M4,22-Jan,39.02,0.44,,,,67,,0,,,FR1 with HFD,,,,,,,,
1,,M1,24-Jan,47.44,2.71,18.73,21.41,17.67,69,,0,,,Free with HFD,,,,,,,,
2,,M2,24-Jan,37.76,1.46,6.73,13.93,11.47,69,,0,,,Free with HFD,,,,,,,,
3,,M3,24-Jan,33.49,0.82,2.89,9.21,,69,,0,,,FR1 with HFD,,,,,,,,
4,,M4,24-Jan,39.5,0.92,8.28,13.73,,69,,0,,,FR1 with HFD,,,,,,,,
